step,loss,accuracy,learning_rate,layer_1_grad_norm,layer_1_update_norm,layer_2_grad_norm,layer_2_update_norm,layer_3_grad_norm,layer_3_update_norm,layer_1_dead_relu_count,layer_2_dead_relu_count
0,0.8958441028683222,0.5,1.0,2.0560968737763696,2.0560968737763696,1.7929748200996123,1.7929748200996123,1.0636098873699893,1.0636098873699893,0,0
1,1.723590533697202,0.81,0.991,1.2799405421034946,1.2684210772245634,0.963661860571658,0.9549889038265126,0.8476603598069189,0.8400314165686568,1,2
2,0.7429006313851129,0.77,0.982,1.2312236861492099,1.209061659798524,0.7618696202506755,0.7481559670861628,0.5896607994816415,0.579046905090972,1,1
3,0.7705641260584198,0.82,0.973,0.562615925347236,0.5474252953628607,0.4245991731801681,0.4131349955043035,0.4752567301255264,0.46242479841213713,1,2
4,0.3692793385976538,0.84,0.964,0.20023957850521096,0.19303095367902343,0.13566986574082276,0.13078575057415318,0.10929545058368151,0.10536081436266896,1,2
5,0.31354548191852205,0.86,0.955,0.13245206210482907,0.12649171931011174,0.11427769603507441,0.10913519971349601,0.0957706401323484,0.09146096132639273,1,2
6,0.2814234349772434,0.89,0.946,0.09146124201550354,0.08652233494666633,0.0867420382549221,0.0820579681891563,0.07924100282347965,0.07496198867101174,1,2
7,0.26888733313983904,0.91,0.937,0.1443120188705015,0.13522036168165985,0.13140982718483055,0.12313100807218622,0.11204531331949616,0.10498645858036791,1,2
8,0.2567147286057417,0.91,0.9279999999999999,0.2280781781368905,0.2116565493110344,0.1796254200731231,0.16669238982785814,0.15397135515071722,0.14288541757986556,1,2
9,0.27048625516379227,0.91,0.919,0.2583880823096046,0.23745864764252655,0.18832061530465477,0.17306664546497783,0.18495745127464358,0.16997589772139746,1,2
10,0.2450702385365804,0.91,0.91,0.26139985617310296,0.23787386911752373,0.2094946583074409,0.1906401390597712,0.18103504738693824,0.1647418931221138,1,2
11,0.25099055297915035,0.92,0.901,0.2699846653760502,0.24325618350382125,0.1816055312237516,0.16362658363260016,0.1700667640926734,0.15323015444749874,1,2
12,0.21560951851922946,0.91,0.892,0.2606877438991934,0.23253346755808058,0.2047262104804092,0.18261577974852514,0.17259644444375338,0.15395602844382802,1,2
13,0.23090378446402737,0.93,0.883,0.2873877832252199,0.25376341258786916,0.19850065469743128,0.1752760780978318,0.16848236128895983,0.14876992501815153,1,2
14,0.20152151227899445,0.92,0.874,0.29219226038631685,0.25537603557764094,0.2322212594193569,0.2029613807325179,0.1854189908164932,0.1620561979736151,1,2
15,0.22574506279282222,0.93,0.865,0.330947780802973,0.28626983039457166,0.2452214546187572,0.212116558245225,0.2099667513759191,0.18162123994017002,1,2
16,0.19447987596204103,0.92,0.856,0.3126526138200204,0.2676306374299375,0.26287533529026313,0.22502128700846538,0.1998644680660936,0.17108398466457614,1,1
17,0.21089496199246363,0.93,0.847,0.3116971688776618,0.2640075020393795,0.21711601030606661,0.18389726072923848,0.16925983688508667,0.1433630818416684,1,1
18,0.159830773563036,0.94,0.838,0.27792871065686,0.23290425953044866,0.23137995197910885,0.1938963997584932,0.17937654298653208,0.15031754302271388,1,1
19,0.18453748746883927,0.93,0.829,0.3598328818296406,0.2983014590367721,0.28731153540419696,0.23818126285007918,0.2345340993458799,0.19442876835773445,1,1
20,0.1897752285608764,0.91,0.8200000000000001,0.39580432508521335,0.324559546569875,0.33017994865514744,0.2707475578972211,0.24360610293258986,0.1997570044047237,1,2
21,0.19072704042579636,0.93,0.8109999999999999,0.33889336815474963,0.2748425215735019,0.20026614685852698,0.1624158451022654,0.1477894306603664,0.11985722826555711,1,1
22,0.11733695088756485,0.97,0.802,0.18564403922960232,0.1488865194621411,0.1380153133111632,0.11068828127555289,0.0770169490824983,0.061767593164163644,1,2
23,0.12173524408232456,0.95,0.793,0.21917838670926942,0.17380846066045066,0.16746484760492397,0.13279962415070473,0.12905514918069982,0.10234073330029496,1,1
24,0.1261571261277044,0.95,0.784,0.32619669952467134,0.25573821242734235,0.25686996963520414,0.20138605619400013,0.20632464274849002,0.16175851991481616,1,2
25,0.1604909778080168,0.95,0.775,0.46808290481487486,0.362764251231528,0.3876704193028306,0.30044457495969373,0.28987201551994624,0.22465081202795834,1,2
26,0.18747197705245805,0.92,0.766,0.47926310764310576,0.367115540454619,0.41046340631418776,0.31441496923666784,0.2587695079933289,0.1982174431228899,1,2
27,0.16741837891059402,0.95,0.757,0.2943993611036989,0.2228603163555001,0.2066989870590159,0.15647113320367506,0.1458498090726283,0.11040830546797961,1,1
28,0.09586583491455386,0.97,0.748,0.19080643993111177,0.14272321706847166,0.07900058351008488,0.05909243646554348,0.04334581721007923,0.03242267127313926,1,1
29,0.08778783707420909,0.96,0.739,0.25619813777172096,0.18933042381330178,0.16841429300060515,0.12445816252744725,0.11810417836532289,0.08727898781197362,1,2
30,0.1173129756901185,0.95,0.73,0.30590490452427294,0.22331058030271925,0.21314177494581982,0.15559349571044842,0.12882981134498125,0.09404576228183631,1,2
31,0.09340146460619843,0.97,0.721,0.35785567767202947,0.25801394360153324,0.23546487897495183,0.16977017774094036,0.14495664866579747,0.10451374368803996,1,2
32,0.12454454903103455,0.95,0.712,0.3010865976692735,0.2143736575405227,0.23241603594181207,0.1654802175905702,0.16558045115509645,0.11789328122242868,1,2
33,0.0798400265277726,0.97,0.7030000000000001,0.18452717518421205,0.1297226041545011,0.14883796564557775,0.10463308984884118,0.11398405024887102,0.08013078732495633,1,2
34,0.07727519232921662,0.97,0.694,0.23769902625695627,0.16496312422232762,0.1067812065182796,0.07410615732368604,0.06988018541883081,0.04849684868066858,1,2
35,0.07661250143094482,0.98,0.685,0.3418660110646899,0.23417821757931262,0.20405666741400103,0.13977881717859067,0.12190419629998585,0.08350437446549032,1,2
36,0.10610492379198372,0.96,0.6759999999999999,0.38350615319901454,0.2592501595625338,0.2817785187589443,0.19048227868104625,0.18223741008311042,0.12319248921618263,1,2
37,0.09062808429265971,0.99,0.667,0.37519331601389433,0.25025394178126753,0.3165729911898319,0.21115418512361803,0.19959485915744363,0.13312977105801493,1,2
38,0.10671887043036923,0.95,0.6579999999999999,0.27196696330136594,0.1789542618522988,0.20558699613939363,0.13527624345972097,0.13620223694611078,0.08962107191054088,1,2
39,0.05225659921975839,0.98,0.649,0.13562191401237342,0.08801862219403034,0.07077211206961997,0.045931100733183385,0.03966567542149278,0.025743023348548815,1,2
40,0.0601600989523447,1.0,0.64,0.3191211396351897,0.2042375293665214,0.19907784721111005,0.12740982221511046,0.12808744152103718,0.0819759625734638,1,1
41,0.08596724533333931,0.96,0.631,0.3168520888400471,0.19993366805806978,0.20257937389872915,0.12782758493009813,0.12537080263950381,0.07910897646552692,1,2
42,0.05112107943179589,0.99,0.6219999999999999,0.1590720933335358,0.09894284205345925,0.1314859998622435,0.08178429191431542,0.09602339038088892,0.059726548816912896,1,1
43,0.05240142401642819,0.97,0.613,0.2073532517600038,0.12710754332888233,0.09104707298080968,0.05581185573723632,0.05619151246881458,0.034445397143383336,1,2
44,0.045306841790015775,1.0,0.604,0.32602582853254675,0.1969196004336582,0.19057164503756316,0.11510527360268816,0.11293986620874252,0.06821567919008048,1,1
45,0.07211073370655084,0.97,0.595,0.27852897962164413,0.16572474287487826,0.1514383652055146,0.0901058272972812,0.10388017392222466,0.06180870348372368,1,2
46,0.03334238651310223,0.99,0.5860000000000001,0.10616627081633098,0.062213434698369964,0.0568778231849614,0.03333040438638738,0.0351063026556445,0.02057229335620768,1,1
47,0.03143222795751126,1.0,0.577,0.13269955690175111,0.07656764433231039,0.0871192871729947,0.05026782869881794,0.05821151423611744,0.033588043714239756,1,1
48,0.03658536747111493,0.99,0.568,0.19920423101951917,0.11314800321908683,0.08281995819189403,0.04704173625299581,0.04718881144190164,0.026803244899000128,1,1
49,0.048291393823903433,0.99,0.5589999999999999,0.530706342175749,0.29666484527624365,0.2955341103830547,0.1652035677041275,0.1632446538814843,0.0912537615197497,1,1
50,0.09875114765619611,0.96,0.55,0.44619164144132506,0.2454054027927288,0.3453178128190993,0.18992479705050458,0.20730764406732596,0.11401920423702928,1,2
51,0.05449063965875422,0.99,0.541,0.2460915355393155,0.1331355207267697,0.13538915601911783,0.07324553340634281,0.08339907280787495,0.045118898389060344,1,1
52,0.0339267943570833,1.0,0.532,0.3273182428596741,0.17413330520134665,0.18199518376493284,0.09682143776294433,0.09417108654062029,0.05009901803961,1,1
53,0.05261517263568424,0.97,0.5229999999999999,0.1697504570280397,0.08877948902566474,0.0737273996078642,0.03855942999491296,0.04629768886125499,0.02421369127443635,1,1
54,0.032502952514248985,0.99,0.514,0.2018421505913315,0.1037468654039444,0.07838590106654243,0.04029035314820282,0.040518674522568375,0.020826598704600144,1,1
55,0.02888327387207846,1.0,0.505,0.2702111525711891,0.13645663204845052,0.13941721692286344,0.07040569454604602,0.07449579189468576,0.037620374906816315,1,1
56,0.04139151104027222,0.98,0.496,0.21845584856612865,0.10835410088879982,0.10542871473099401,0.052292642506573055,0.05745809095173028,0.028499213112058216,1,1
57,0.018987407426128533,1.0,0.487,0.10203670227172028,0.04969187400632777,0.06428816782990923,0.0313083377331658,0.03969025010120655,0.019329151799287587,1,1
58,0.025238335238837263,1.0,0.478,0.1438333042672725,0.06875231943975625,0.05826137125338578,0.027848935459118408,0.03137396799775348,0.014996756702926163,1,1
59,0.020796565213419067,1.0,0.469,0.21888830332849232,0.1026586142610629,0.11016643916970709,0.05166805997059261,0.054360003923223904,0.02549484183999201,1,1
60,0.032597111578102106,0.99,0.45999999999999996,0.21294443169856958,0.09795443858134203,0.08565663560442353,0.03940205237803482,0.045890555912415885,0.021109655719711306,1,1
61,0.01786335169348032,1.0,0.45100000000000007,0.12312365426994198,0.05552876807574385,0.09886789279332826,0.04458941964979103,0.06796692185755006,0.030653081757755083,1,1
62,0.023008717832211575,1.0,0.44199999999999995,0.1848124730564572,0.08168711309095407,0.09693823817910159,0.04284670127516289,0.043288049595228834,0.01913331792109114,1,1
63,0.022079325463581607,1.0,0.43299999999999994,0.25213214646343557,0.10917321941866759,0.14444139103025622,0.06254312231610093,0.07275682608534383,0.03150370569495388,1,1
64,0.029432917853529465,0.99,0.42399999999999993,0.2402939616481817,0.10188463973882907,0.1129191962901233,0.047877739227012266,0.05780384150324884,0.024508828797377504,1,1
65,0.01625151464409205,1.0,0.41500000000000004,0.237596940894201,0.0986027304710934,0.1386040437938584,0.05752067817445124,0.07358563801254621,0.03053803977520668,1,1
66,0.028468534483264234,0.99,0.406,0.24229354448226773,0.09837117905980071,0.11345510642290128,0.04606277320769791,0.05780659811437851,0.023469478834437677,1,1
67,0.01399436554620869,1.0,0.3969999999999999,0.04231663733572926,0.016799705022284513,0.02696521109155553,0.010705188803347537,0.009894516317558251,0.0039281229780706245,1,1
68,0.015552344843651627,1.0,0.388,0.32594629621271237,0.12646716293053242,0.17422616082802922,0.06759975040127533,0.08651536767143927,0.033567962656518444,1,1
69,0.03389119946160146,0.99,0.379,0.24430825978485016,0.09259283045845823,0.11386341012753803,0.043154232438336944,0.057332947929498994,0.021729187265280118,1,1
70,0.014229870065926868,1.0,0.37,0.04351743160006298,0.016101449692023304,0.02529877456358332,0.00936054658852583,0.00988298476645532,0.003656704363588468,1,1
71,0.013255281583285447,1.0,0.361,0.04356050857492731,0.01572534359554876,0.02534518067820854,0.009149610224833283,0.010120690384653394,0.0036535692288598757,1,1
72,0.012300277590022007,1.0,0.352,0.04361439823444051,0.015352268178523053,0.025399871949315984,0.008940754926159224,0.010393773403819874,0.003658608238144595,1,1
73,0.012676052498356157,1.0,0.34299999999999997,0.22721072154133704,0.07793327748867859,0.13089460287948465,0.04489684878766323,0.08002057768345537,0.02744705814542519,1,1
74,0.020593811955954604,1.0,0.33399999999999996,0.19212162100311775,0.06416862141504133,0.09964545321976627,0.033281581375401936,0.04379305297360397,0.014626879693183723,1,1
75,0.01184539820536434,1.0,0.32499999999999996,0.0868076850236649,0.028212497632691083,0.0338361567822018,0.010996750954215585,0.016100605131317176,0.0052326966676780814,1,1
76,0.016012697472883388,1.0,0.31599999999999995,0.35728316693378154,0.11290148075107498,0.1752078666874551,0.05536568587323582,0.08931332018833173,0.028223009179512825,1,1
77,0.025458360239221947,1.0,0.30700000000000005,0.1915958583602421,0.058819928516594344,0.0938455650814559,0.028810588480006987,0.04324986365498373,0.013277708142080008,1,1
78,0.014382930289661807,1.0,0.29799999999999993,0.08722006725081277,0.0259915800407422,0.03381732626578691,0.0100775632272045,0.015743267619293802,0.004691493750549552,1,1
79,0.011698962425817873,1.0,0.2889999999999999,0.08729920296295329,0.025229469656293493,0.03392144436543162,0.009803297421609734,0.01614778758243252,0.004666710611322997,1,1
80,0.012318500800515936,1.0,0.28,0.17656714487346972,0.04943880056457152,0.08024358550222395,0.02246820394062271,0.04124124146045877,0.011547547608928458,1,1
81,0.01412111703146413,1.0,0.2709999999999999,0.08751643615063566,0.02371695419682225,0.033913200141023774,0.00919047723821744,0.01575104995867064,0.004268534538799742,1,1
82,0.011664591962446118,1.0,0.262,0.08759066897581301,0.022948755271663013,0.03400930018275216,0.008910436647881066,0.016126640184802223,0.0042251797284181825,1,1
83,0.011589314549188793,1.0,0.253,0.056362357312961124,0.014259676400179165,0.028000593346610952,0.0070841501166925705,0.018269232583243727,0.004622115843560663,1,1
84,0.010990299347735228,1.0,0.24399999999999988,0.000868389504884404,0.00021188703919179452,0.0018237548181604618,0.00044499617563115233,0.0005620834191979072,0.00013714835428428927,1,1
85,0.010989226720691608,1.0,0.235,0.0008683471274765657,0.0002040615749569929,0.001823665818925335,0.00042856146744745384,0.0005620559895270504,0.00013208315753885684,1,1
86,0.010988193757655071,1.0,0.22599999999999998,0.0008683063151615744,0.00019623722722651575,0.0018235801066318448,0.00041212910409879714,0.0005620295728955426,0.00012701868347439262,1,1
87,0.010987200447388707,1.0,0.21700000000000008,0.0008682670677161289,0.00018841395369440002,0.0018234976808110257,0.00039569899673599283,0.0005620041691588478,0.00012195490470747001,1,1
88,0.010986246779084925,1.0,0.20799999999999996,0.0008682293849253903,0.00018059171206448107,0.0018234185410116786,0.0003792710565304292,0.0005619797781779062,0.00011689179386100447,1,1
89,0.010985332742365276,1.0,0.19899999999999995,0.0008681932665829773,0.00017277046005001242,0.001823342686800373,0.0003628451946732742,0.000561956399819134,0.00011182932356400763,1,1
90,0.010984458327280176,1.0,0.18999999999999995,0.000868158712490967,0.0001649501553732837,0.0018232701177614383,0.0003464213223746732,0.0005619340339544212,0.00010676746645133999,1,1
91,0.010983623524308863,1.0,0.18099999999999994,0.0008681257224598927,0.00015713075576524046,0.0018232008334969634,0.0003299993508629503,0.000561912680461131,0.00010170619516346467,1,1
92,0.010982828324359071,1.0,0.17200000000000004,0.0008680942963087394,0.00014931221896510323,0.0018231348336267906,0.00031357919138380813,0.0005618923392220983,9.664548234620092e-05,1,1
93,0.010982072718767005,1.0,0.16299999999999992,0.0008680644338649466,0.0001414945027199862,0.0018230721177885136,0.0002971607551995275,0.000561873010125629,9.158530065047748e-05,1,1
94,0.010981356699297045,1.0,0.15399999999999991,0.0008680361349644027,0.0001336775647845179,0.0018230126856374734,0.00028074395358817085,0.000561854693065499,8.652562273208679e-05,1,1
95,0.010980680258141723,1.0,0.14500000000000002,0.0008680093994514455,0.00012586136292045964,0.001822956536846756,0.0002643286978427796,0.0005618373879409525,8.146642125143812e-05,1,1
96,0.010980043387921506,1.0,0.1359999999999999,0.0008679842271788614,0.00011804585489632506,0.0018229036711071881,0.0002479148992705774,0.0005618210946567023,7.640766887331145e-05,1,1
97,0.010979446081684675,1.0,0.127,0.0008679606180078823,0.00011023099848700107,0.0018228540881273332,0.0002315024691921714,0.0005618058131229276,7.134933826661178e-05,1,1
98,0.010978888332907229,1.0,0.118,0.0008679385718081849,0.00010241675147336581,0.0018228077876334954,0.0002150913189407524,0.0005617915432552743,6.629140210412236e-05,1,1
99,0.010978370135492719,1.0,0.10899999999999987,0.0008679180884578901,9.460307164190991e-05,0.0018227647693697063,0.00019868135986129772,0.0005617782849748534,6.123383306225895e-05,1,1
100,0.01097789148377217,1.0,,,,,,,,1,1
